,date,us_return
0,2002-03-28,0.044698
1,2002-04-30,-0.0496
2,2002-05-31,-0.01051
3,2002-06-28,-0.070259
4,2002-07-31,-0.081125
5,2002-08-30,0.007949
6,2002-09-30,-0.099923
7,2002-10-31,0.07494
8,2002-11-29,0.061282
9,2002-12-31,-0.053334
10,2003-01-31,-0.023367
11,2003-02-28,-0.015417
12,2003-03-31,0.010321
13,2003-04-30,0.082768
14,2003-05-30,0.063471
15,2003-06-30,0.016346
16,2003-07-31,0.023112
17,2003-08-29,0.024965
18,2003-09-30,-0.00912
19,2003-10-31,0.060361
20,2003-11-28,0.016594
21,2003-12-31,0.045476
22,2004-01-30,0.023042
23,2004-02-27,0.015443
24,2004-03-31,-0.010662
25,2004-04-30,-0.024222
26,2004-05-28,0.014068
27,2004-06-30,0.021611
28,2004-07-30,-0.037698
29,2004-08-31,0.002703
30,2004-09-30,0.020556
31,2004-10-29,0.017806
32,2004-11-30,0.048214
33,2004-12-31,0.03517
34,2005-01-31,-0.026546
35,2005-02-28,0.022646
36,2005-03-31,-0.016944
37,2005-04-29,-0.025206
38,2005-05-31,0.037954
39,2005-06-30,0.011529
40,2005-07-29,0.043358
41,2005-08-31,-0.005958
42,2005-09-30,0.0106
43,2005-10-31,-0.020866
44,2005-11-30,0.040326
45,2005-12-30,0.003458
46,2006-01-31,0.040072
47,2006-02-28,-0.001639
48,2006-03-31,0.019065
49,2006-04-28,0.013
50,2006-05-31,-0.031032
51,2006-06-30,-0.000391
52,2006-07-31,-0.001912
53,2006-08-31,0.025042
54,2006-09-29,0.019425
55,2006-10-31,0.037153
56,2006-11-30,0.023737
57,2006-12-29,0.010857
58,2007-01-31,0.019387
59,2007-02-28,-0.014006
60,2007-03-30,0.012954
61,2007-04-30,0.039834
62,2007-05-31,0.038953
63,2007-06-29,-0.014747
64,2007-07-31,-0.03179
65,2007-08-31,0.011593
66,2007-09-28,0.040822
67,2007-10-31,0.02591
68,2007-11-30,-0.049362
69,2007-12-31,-0.004405
70,2008-01-31,-0.062218
71,2008-02-29,-0.021697
72,2008-03-31,-0.010444
73,2008-04-30,0.051199
74,2008-05-30,0.023935
75,2008-06-30,-0.078436
76,2008-07-31,-0.013413
77,2008-08-29,0.010597
78,2008-09-30,-0.098172
79,2008-10-31,-0.184833
80,2008-11-28,-0.084681
81,2008-12-31,0.022232
82,2009-01-30,-0.077471
83,2009-02-27,-0.100166
84,2009-03-31,0.086803
85,2009-04-30,0.109466
86,2009-05-29,0.067787
87,2009-06-30,-0.003019
88,2009-07-31,0.081779
89,2009-08-31,0.03151
90,2009-09-30,0.045281
91,2009-10-30,-0.028072
92,2009-11-30,0.057075
93,2009-12-31,0.028475
94,2010-01-29,-0.037172
95,2010-02-26,0.034744
96,2010-03-31,0.063668
97,2010-04-30,0.020036
98,2010-05-28,-0.07924
99,2010-06-30,-0.05078
100,2010-07-30,0.07036
101,2010-08-31,-0.042863
102,2010-09-30,0.091628
103,2010-10-29,0.038591
104,2010-11-30,0.005117
105,2010-12-31,0.067182
106,2011-01-31,0.019183
107,2011-02-28,0.038156
108,2011-03-31,0.003341
109,2011-04-29,0.028597
110,2011-05-31,-0.014948
111,2011-06-30,-0.018447
112,2011-07-29,-0.022534
113,2011-08-31,-0.057564
114,2011-09-30,-0.084983
115,2011-10-31,0.114146
116,2011-11-30,-0.00627
117,2011-12-30,0.003676
118,2012-01-31,0.054106
119,2012-02-29,0.041225
120,2012-03-30,0.02402
121,2012-04-30,-0.006829
122,2012-05-31,-0.06559
123,2012-06-29,0.038151
124,2012-07-31,0.010307
125,2012-08-31,0.026317
126,2012-09-28,0.026513
127,2012-10-31,-0.014055
128,2012-11-30,0.006217
129,2012-12-31,0.012569
130,2013-01-31,0.054142
131,2013-02-28,0.008282
132,2013-03-28,0.035295
133,2013-04-30,0.014939
134,2013-05-31,0.019128
135,2013-06-28,-0.015072
136,2013-07-31,0.052658
137,2013-08-30,-0.02575
138,2013-09-30,0.037497
139,2013-10-31,0.039889
140,2013-11-29,0.024956
141,2013-12-31,0.02614
142,2014-01-31,-0.03002
143,2014-02-28,0.046198
144,2014-03-31,0.00454
145,2014-04-30,0.001573
146,2014-05-30,0.020254
147,2014-06-30,0.027973
148,2014-07-31,-0.020555
149,2014-08-29,0.040205
150,2014-09-30,-0.025196
151,2014-10-31,0.021164
152,2014-11-28,0.021104
153,2014-12-31,-0.003659
154,2015-01-30,-0.027163
155,2015-02-27,0.055915
156,2015-03-31,-0.010397
157,2015-04-30,0.008766
158,2015-05-29,0.010277
159,2015-06-30,-0.019231
